Park Name,Category,Scientific Name,Common Names,Observations,T&E
Bryce Canyon National Park,Bird,Egretta thula,Snowy Egret,,SC
Bryce Canyon National Park,Bird,Nycticorax nycticorax,Black-Crowned Night-Heron,,SC
Bryce Canyon National Park,Bird,Pelecanus erythrorhynchos,American White Pelican,,SC
Bryce Canyon National Park,Bird,Plegadis chihi,White-Faced Ibis,,SC
Bryce Canyon National Park,Bird,Melanerpes formicivorus,Acorn Woodpecker,,
Bryce Canyon National Park,Bird,Melanerpes lewis,Lewis' Woodpecker,,SC
Bryce Canyon National Park,Bird,Picoides dorsalis,American Three-Toed Woodpecker,,
Bryce Canyon National Park,Bird,Picoides pubescens,Downy Woodpecker,1,SC
Bryce Canyon National Park,Bird,Sphyrapicus nuchalis,Red-Naped Sapsucker,,
Bryce Canyon National Park,Bird,Sphyrapicus thyroideus,Williamson'S Sapsucker,,SC
Bryce Canyon National Park,Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,,SC
Bryce Canyon National Park,Bird,Aechmophorus occidentalis,Western Grebe,,SC
Bryce Canyon National Park,Bird,Podiceps nigricollis,Eared Grebe,,SC
Bryce Canyon National Park,Bird,Podilymbus podiceps,Pied-Billed Grebe,,SC
Bryce Canyon National Park,Bird,Aegolius acadicus,Northern Saw-Whet Owl,,SC
Bryce Canyon National Park,Bird,Asio otus,Long-Eared Owl,,SC
Bryce Canyon National Park,Bird,Bubo virginianus,Great Horned Owl,,
Bryce Canyon National Park,Bird,Glaucidium gnoma,Northern Pygmy-Owl,,
Bryce Canyon National Park,Reptile,Hypsiglena torquata,Nightsnake,,
Bryce Canyon National Park,Reptile,Masticophis taeniatus,Striped Whipsnake,,
Bryce Canyon National Park,Reptile,Pituophis catenifer,Gophersnake,,
Bryce Canyon National Park,Reptile,Thamnophis elegans,Terrestrial Gartersnake,,
Bryce Canyon National Park,Reptile,Sceloporus graciosus,Common Sagebrush Lizard,,
Bryce Canyon National Park,Reptile,Sceloporus tristichus,Plateau Lizard,,
Bryce Canyon National Park,Reptile,Urosaurus ornatus,Tree Lizard,,
Bryce Canyon National Park,Reptile,Uta stansburiana,Side-Blotched Lizard,,
Bryce Canyon National Park,Reptile,Phrynosoma hernandesi,Greater Short-Horned Lizard,,
Bryce Canyon National Park,Reptile,Eumeces skiltonianus,Western Skink,,
Bryce Canyon National Park,Reptile,Cnemidophorus tigris,Western Whiptail,,
Bryce Canyon National Park,Reptile,Crotalus oreganus,Western Rattlesnake,,
Bryce Canyon National Park,Reptile,Crotalus viridis,Prairie Rattlesnake,,
Bryce Canyon National Park,Vascular Plant,Arabis perennans var. perennans,Perennial Rockcress,,
Bryce Canyon National Park,Vascular Plant,Arenaria rubella var. rubella,Reddish Sandwort,,
Bryce Canyon National Park,Vascular Plant,Aster wasatchensis var. wasatchensis,Markagunt Aster,,
Bryce Canyon National Park,Vascular Plant,Camissonia scapoidea var. scapoidea,Paiute Suncup,,
Bryce Canyon National Park,Vascular Plant,Carex oederi var. viridula,Green Sedge,,
Bryce Canyon National Park,Vascular Plant,Chrysopsis villosa var. minor,Hispid Golden-Aster,,
Bryce Canyon National Park,Vascular Plant,Chrysothamnus nauseosus var. gnaphaloides,Graystem Rabbitbrush,,
Bryce Canyon National Park,Vascular Plant,Chrysothamnus parryi var. affinis,Parry'S Rabbitbrush,,
Bryce Canyon National Park,Vascular Plant,Chrysothamnus parryi var. parryi,Parry'S Rabbitbrush,,
Bryce Canyon National Park,Vascular Plant,Dodecatheon pulchellum var. pulchellum,Dark-Throat Shooting-Star,,
Bryce Canyon National Park,Vascular Plant,Habenaria sparsiflora var. sparsiflora,Slender Bog Orchid,,
Bryce Canyon National Park,Vascular Plant,Haplopappus acaulis var. acaulis,Stemless Goldenweed,,
Bryce Canyon National Park,Vascular Plant,Haplopappus armerioides var. armerioides,Thrift Goldenweed,,
Bryce Canyon National Park,Vascular Plant,Pachystima myrsinites,Mountain-Lover,,
Bryce Canyon National Park,Vascular Plant,Potentilla diversifolia var. madsenii,Madsen'S Cinquefoil,,
Bryce Canyon National Park,Vascular Plant,Senecio werneriifolius var. barkleyi,Barkley'S Groundsel,,
Bryce Canyon National Park,Vascular Plant,Suaeda torreyana var. torreyana,Torrey'S Seepweed,,
Bryce Canyon National Park,Vascular Plant,Thelypodiopsis sagittata var. sagittata,Arrowhead Thelypody,,
Bryce Canyon National Park,Vascular Plant,Viguiera multiflora var. multiflora,Showy Goldeneye,,
Bryce Canyon National Park,Vascular Plant,Triglochin concinna,Low Arrowgrass,,
Bryce Canyon National Park,Vascular Plant,Triglochin maritima var. elata,Seaside Arrowgrass,,
Bryce Canyon National Park,Vascular Plant,Triglochin palustris,Marsh Arrowgrass,,
Bryce Canyon National Park,Vascular Plant,Potamogeton filiformis var. occidentalis,Slenderleaf Pondweed,,
Bryce Canyon National Park,Vascular Plant,Potamogeton vaginatus,Sheathed Pondweed,,
Bryce Canyon National Park,Vascular Plant,Angelica pinnata,Pinnate Angelica,,
Bryce Canyon National Park,Vascular Plant,Berula erecta var. incisa,Cutleaf Water-Parsnip,,
